Accuracy,number_questionnaires,data_length,plannedId,file_name,activity
0.709720428315487,1,24001,2596,emaLabel_ACTIVPAL_1102.csv,sitting
0.981917420107495,1,24001,307,emaLabel_ACTIVPAL_1103.csv,sitting
0.94529394608558,1,24001,2351,emaLabel_ACTIVPAL_1103.csv,sitting
1,1,24001,2379,emaLabel_ACTIVPAL_1103.csv,sitting
0.534145470417841,1,25201,2386,emaLabel_ACTIVPAL_1103.csv,sitting
0.194967505415764,1,6001,2401,emaLabel_ACTIVPAL_1103.csv,sitting
0.523412764539243,1,6001,2433,emaLabel_ACTIVPAL_1103.csv,walking
1,1,24001,2462,emaLabel_ACTIVPAL_1103.csv,sitting
0.782036327278787,1,6001,2469,emaLabel_ACTIVPAL_1103.csv,walking
0.848256322653223,1,24001,2489,emaLabel_ACTIVPAL_1103.csv,sitting
0.966543060705804,1,24001,2505,emaLabel_ACTIVPAL_1103.csv,sitting
0.00758301737427607,1,24001,2523,emaLabel_ACTIVPAL_1103.csv,walking
0,1,6001,2524,emaLabel_ACTIVPAL_1103.csv,sitting
0.988500479146702,1,24001,2532,emaLabel_ACTIVPAL_1103.csv,sitting
1,1,24001,2580,emaLabel_ACTIVPAL_1103.csv,sitting
0,1,25201,2609,emaLabel_ACTIVPAL_1103.csv,sitting
0,1,6001,315,emaLabel_ACTIVPAL_1104.csv,sitting
1,1,24001,317,emaLabel_ACTIVPAL_1104.csv,sitting
0.894017663722713,1,6001,321,emaLabel_ACTIVPAL_1104.csv,walking
0.815364105982336,1,6001,335,emaLabel_ACTIVPAL_1104.csv,walking
0.361504582787763,1,8401,2358,emaLabel_ACTIVPAL_1104.csv,sitting
1,1,24001,2362,emaLabel_ACTIVPAL_1104.csv,sitting
1,1,24001,2368,emaLabel_ACTIVPAL_1104.csv,sitting
1,1,25201,2388,emaLabel_ACTIVPAL_1104.csv,sitting
1,1,6001,2464,emaLabel_ACTIVPAL_1104.csv,walking
0.97117147142143,1,6001,2480,emaLabel_ACTIVPAL_1104.csv,walking
1,1,25201,2483,emaLabel_ACTIVPAL_1104.csv,sitting
1,1,24001,2486,emaLabel_ACTIVPAL_1104.csv,sitting
0.817697050491585,1,6001,2491,emaLabel_ACTIVPAL_1104.csv,walking
0,1,24001,2499,emaLabel_ACTIVPAL_1104.csv,walking
0.0337453131509513,1,7201,2501,emaLabel_ACTIVPAL_1104.csv,sitting
0.652891184802533,1,6001,2512,emaLabel_ACTIVPAL_1104.csv,walking
1,1,24001,2519,emaLabel_ACTIVPAL_1104.csv,sitting
0.97633727712048,1,6001,2526,emaLabel_ACTIVPAL_1104.csv,walking
1,1,25201,2531,emaLabel_ACTIVPAL_1104.csv,sitting
1,1,25201,2542,emaLabel_ACTIVPAL_1104.csv,sitting
0.805365772371271,1,6001,2545,emaLabel_ACTIVPAL_1104.csv,walking
1,1,6001,2549,emaLabel_ACTIVPAL_1104.csv,running
0.897517080486586,1,6001,2555,emaLabel_ACTIVPAL_1104.csv,walking
1,1,24001,2557,emaLabel_ACTIVPAL_1104.csv,sitting
1,1,24001,2568,emaLabel_ACTIVPAL_1104.csv,sitting
1,1,6001,2572,emaLabel_ACTIVPAL_1104.csv,walking
0.0684442328294251,1,8401,2590,emaLabel_ACTIVPAL_1104.csv,sitting
1,1,24001,2613,emaLabel_ACTIVPAL_1104.csv,sitting
1,1,25201,2621,emaLabel_ACTIVPAL_1104.csv,sitting
1,1,24001,2985,emaLabel_ACTIVPAL_1105.csv,sitting
0.976084329819591,1,24001,2991,emaLabel_ACTIVPAL_1105.csv,sitting
1,1,24001,3006,emaLabel_ACTIVPAL_1105.csv,sitting
0.923679386768872,1,6001,3062,emaLabel_ACTIVPAL_1105.csv,walking
0.0738210298283619,1,6001,3071,emaLabel_ACTIVPAL_1105.csv,sitting
0.780203299450092,1,6001,3071,emaLabel_ACTIVPAL_1105.csv,walking
1,1,24001,3228,emaLabel_ACTIVPAL_1105.csv,sitting
0.82986168971838,1,6001,3232,emaLabel_ACTIVPAL_1105.csv,walking
